denoising autoencoder, full feedback
epochs = 20
hiddens = 600
learning_rate = 0.010000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 97.6745449256494, 0.127, 35.05915808677673)
(1, 81.573225675743174, 0.1087, 70.10502505302429)
(2, 78.570484544483605, 0.1036, 105.05212092399597)
(3, 77.002055776973336, 0.0983, 140.2167670726776)
(4, 76.078497993202689, 0.1003, 175.3105490207672)
(5, 75.363632892426267, 0.0917, 210.46230697631836)
(6, 74.813414847383839, 0.0914, 245.4532859325409)
(7, 74.29092501921005, 0.0852, 280.4156320095062)
(8, 73.882863456286003, 0.0876, 315.3741829395294)
(9, 73.516816497911577, 0.0843, 350.28737211227417)
(10, 73.115583294118252, 0.0806, 384.7716360092163)
(11, 72.747220846761593, 0.0802, 419.6151170730591)
(12, 72.389650525469094, 0.0807, 454.5977900028229)
(13, 72.067918493334119, 0.0787, 489.64269399642944)
(14, 71.820096864880313, 0.0768, 524.7619340419769)
(15, 71.513871206085724, 0.0776, 559.7267029285431)
(16, 71.175184814464771, 0.0746, 594.7510778903961)
(17, 70.939520918706137, 0.0739, 629.8501529693604)
(18, 70.70559000270886, 0.0717, 664.6433229446411)
(19, 70.453940613704361, 0.0731, 699.508248090744)
done.
