denoising autoencoder, full feedback
epochs = 50
hiddens = 1200
learning_rate = 0.100000
corruption = 0.250000
epoch, cost, error_rate, time
(0, 77.128585499698346, 0.084, 63.05549192428589)
(1, 69.706206013312524, 0.0662, 126.05394101142883)
(2, 67.530967962650564, 0.0599, 189.17387294769287)
(3, 66.174989701353624, 0.0568, 252.37895107269287)
(4, 65.316934084506514, 0.0489, 315.5050950050354)
(5, 64.719909193782584, 0.049, 378.5230870246887)
(6, 64.27833078314805, 0.0468, 441.5430009365082)
(7, 63.890035283651777, 0.0452, 504.6431350708008)
(8, 63.59493901597039, 0.0439, 567.8411319255829)
(9, 63.394723946478557, 0.0432, 630.9508190155029)
(10, 63.152497083216652, 0.0407, 693.8012180328369)
(11, 62.9898867867986, 0.0416, 756.9861600399017)
(12, 62.815112760015481, 0.0393, 820.1214261054993)
(13, 62.673569013441238, 0.0373, 883.1490359306335)
(14, 62.562717989066321, 0.0364, 946.2775390148163)
(15, 62.462520603649935, 0.0369, 1009.1258690357208)
(16, 62.368600539997196, 0.0375, 1072.2559609413147)
(17, 62.23954886131763, 0.0359, 1135.4724190235138)
(18, 62.194978031835717, 0.034, 1198.6106259822845)
(19, 62.124137945601042, 0.035, 1261.8109600543976)
(20, 62.052881160480574, 0.0349, 1324.802917957306)
(21, 62.009172042254406, 0.0344, 1387.8630769252777)
(22, 61.923833571222318, 0.0345, 1450.9520230293274)
(23, 61.874925587974928, 0.0328, 1514.0089979171753)
(24, 61.822982178427672, 0.0342, 1576.9298589229584)
(25, 61.792095817974804, 0.0303, 1640.1354930400848)
(26, 61.716664454278117, 0.0317, 1703.1516599655151)
(27, 61.710840425689064, 0.0311, 1766.2971539497375)
(28, 61.651583570807354, 0.0312, 1829.4292469024658)
(29, 61.609948084435857, 0.032, 1892.5224740505219)
(30, 61.577693391709836, 0.0317, 1955.7113790512085)
(31, 61.578382264681082, 0.0291, 2018.735748052597)
(32, 61.539395289477881, 0.0298, 2081.863009929657)
(33, 61.466939062204844, 0.0314, 2144.751601934433)
(34, 61.472645327634702, 0.0296, 2207.814666032791)
(35, 61.438985708537381, 0.0298, 2270.894229888916)
(36, 61.417413363001508, 0.0303, 2333.952569961548)
(37, 61.35410470076058, 0.0271, 2397.0342819690704)
(38, 61.359559036658425, 0.0289, 2460.024017095566)
(39, 61.31716255168903, 0.029, 2523.119159936905)
(40, 61.295453520351174, 0.0293, 2586.0866000652313)
(41, 61.286276778748515, 0.0291, 2649.0542318820953)
(42, 61.234890564121258, 0.0275, 2712.2906351089478)
(43, 61.222219143602786, 0.029, 2775.363298892975)
(44, 61.225074290287566, 0.0283, 2838.327176094055)
(45, 61.200784165192346, 0.0289, 2901.434047937393)
(46, 61.170402454582941, 0.0282, 2964.459300994873)
(47, 61.13081231025923, 0.0268, 3027.392807006836)
(48, 61.184013639905679, 0.0256, 3091.4287209510803)
(49, 61.129042864951934, 0.0284, 3157.3707230091095)
done.
