denoising autoencoder, full feedback
epochs = 30
hiddens = 4000
learning_rate = 0.100000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 96.003995276176852, 0.0855, 172.58822917938232)
(1, 73.880734248712983, 0.0714, 345.3744270801544)
(2, 70.9334222255805, 0.0619, 518.0636301040649)
(3, 69.266423971581489, 0.0527, 690.7465360164642)
(4, 68.222884191234328, 0.0488, 865.2566962242126)
(5, 67.45477760301381, 0.0496, 1039.8148040771484)
(6, 66.87098332272322, 0.0475, 1214.304969072342)
(7, 66.420613239913038, 0.0419, 1388.092651128769)
(8, 66.10272553437639, 0.0413, 1560.9686172008514)
(9, 65.76047040582452, 0.0404, 1733.7952752113342)
(10, 65.520444062258647, 0.0402, 1906.6243970394135)
(11, 65.295269850956188, 0.0379, 2079.375325202942)
(12, 65.090740612367881, 0.0351, 2252.2377741336823)
(13, 64.921636923599777, 0.0386, 2425.082205057144)
(14, 64.740913162923476, 0.0356, 2597.912478208542)
(15, 64.580303811135479, 0.034, 2770.651468038559)
(16, 64.474108020233956, 0.0334, 2944.37016415596)
(17, 64.356753322881687, 0.0336, 3118.9301800727844)
(18, 64.253168178979649, 0.0319, 3293.487386226654)
(19, 64.196641476699497, 0.0332, 3467.857619047165)
(20, 64.067270753466644, 0.032, 3640.7196700572968)
(21, 63.971354325859402, 0.033, 3813.48353600502)
(22, 63.893498388337626, 0.0304, 3986.3566150665283)
(23, 63.835984570827286, 0.0317, 4159.319746017456)
(24, 63.807503991846765, 0.0307, 4332.075314044952)
(25, 63.708979929120687, 0.0311, 4504.843943119049)
(26, 63.658309567384052, 0.0303, 4677.682448148727)
(27, 63.589334762840693, 0.0289, 4850.564165115356)
(28, 63.530102730463284, 0.0292, 5024.069578170776)
(29, 63.471674477704838, 0.0296, 5198.5804851055145)
done.
