denoising autoencoder, full feedback
epochs = 20
hiddens = 600
learning_rate = 0.250000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.608047421862167, 0.0737, 35.25177884101868)
(1, 71.074177190205575, 0.0578, 70.59866285324097)
(2, 68.9405409676679, 0.0512, 106.00850296020508)
(3, 67.940911792123629, 0.0503, 141.0882489681244)
(4, 67.325161270791298, 0.0453, 176.50460982322693)
(5, 66.897261039479488, 0.0441, 211.8090078830719)
(6, 66.595903075269234, 0.0448, 247.69892287254333)
(7, 66.325295716899262, 0.0442, 283.1663739681244)
(8, 66.177417144585675, 0.0437, 319.1931369304657)
(9, 65.969466474918121, 0.0441, 354.88254380226135)
(10, 65.855911056963265, 0.0388, 390.7267758846283)
(11, 65.752415440984379, 0.0422, 426.5354428291321)
(12, 65.626682727568522, 0.0371, 462.2696828842163)
(13, 65.576509862096273, 0.0411, 498.20626282691956)
(14, 65.472028728530631, 0.0386, 533.8334999084473)
(15, 65.410203732462989, 0.0367, 569.6333799362183)
(16, 65.334647588306694, 0.0394, 605.2595479488373)
(17, 65.307690196425582, 0.0382, 641.1370959281921)
(18, 65.245073552109446, 0.0378, 676.7756428718567)
(19, 65.23059740160069, 0.0367, 712.6969249248505)
done.
