denoising autoencoder, full feedback
epochs = 30
hiddens = 1000
learning_rate = 0.050000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 81.883840565339639, 0.1022, 58.99855399131775)
(1, 74.674721210043842, 0.0876, 117.72551894187927)
(2, 72.650532834975564, 0.0798, 176.50868487358093)
(3, 71.086563832373187, 0.0722, 235.36701488494873)
(4, 69.870705226624594, 0.0699, 294.22628688812256)
(5, 68.98247666036896, 0.0621, 353.1284599304199)
(6, 68.268267257542391, 0.0595, 412.1811189651489)
(7, 67.699919725102504, 0.057, 471.07058596611023)
(8, 67.242913049907401, 0.059, 529.6370310783386)
(9, 66.855843728240657, 0.0564, 588.5509948730469)
(10, 66.592391031919718, 0.0536, 647.3052949905396)
(11, 66.277208126865787, 0.0527, 706.204892873764)
(12, 66.067726715366902, 0.0516, 764.9355828762054)
(13, 65.90666924988119, 0.0493, 823.8026320934296)
(14, 65.666924884451404, 0.0502, 882.6981520652771)
(15, 65.54776552590846, 0.0499, 941.697506904602)
(16, 65.386731659987376, 0.0484, 1000.5252039432526)
(17, 65.257855127073668, 0.0462, 1059.4867980480194)
(18, 65.118108535797518, 0.0478, 1118.3166189193726)
(19, 65.065193936507583, 0.0444, 1177.2943980693817)
(20, 64.910830272297531, 0.0456, 1236.1431529521942)
(21, 64.832020293625533, 0.0445, 1294.9061069488525)
(22, 64.752376988093999, 0.0453, 1353.7960839271545)
(23, 64.692350673992763, 0.0415, 1412.7058498859406)
(24, 64.617107043676327, 0.0436, 1471.477518081665)
(25, 64.497514531938663, 0.0404, 1530.2967720031738)
(26, 64.462625989046174, 0.0421, 1589.3003840446472)
(27, 64.40900229655297, 0.0421, 1648.1965658664703)
(28, 64.348202805602895, 0.0402, 1707.0747289657593)
(29, 64.284472882857401, 0.0403, 1765.922875881195)
done.
