denoising autoencoder, full feedback
epochs = 20
hiddens = 600
learning_rate = 0.160000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.218736716757661, 0.0759, 34.855748891830444)
(1, 71.574810304000721, 0.0694, 69.25478601455688)
(2, 69.276912621268806, 0.0618, 104.52868986129761)
(3, 68.047778593767674, 0.054, 139.46984887123108)
(4, 67.267673464534809, 0.054, 174.37765884399414)
(5, 66.736124932592261, 0.0465, 209.5869698524475)
(6, 66.395364576371279, 0.0506, 244.43140196800232)
(7, 66.077662715866992, 0.0489, 279.4614260196686)
(8, 65.86000193999746, 0.0481, 314.43630599975586)
(9, 65.624542902841895, 0.0445, 349.59432196617126)
(10, 65.489688618450501, 0.0462, 384.40183091163635)
(11, 65.369486419841607, 0.0433, 419.35362792015076)
(12, 65.274331317013036, 0.0427, 454.53801798820496)
(13, 65.143790473046067, 0.041, 489.3550019264221)
(14, 65.068786698259501, 0.0409, 524.3384940624237)
(15, 64.969263287949829, 0.04, 559.2648289203644)
(16, 64.909910943542826, 0.0356, 594.4271810054779)
(17, 64.836947643301897, 0.0378, 629.491131067276)
(18, 64.80380182593872, 0.0363, 664.3093428611755)
(19, 64.720384746118853, 0.0396, 699.3213210105896)
done.
