denoising autoencoder, full feedback
epochs = 20
hiddens = 600
learning_rate = 0.120000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.722419760427897, 0.0839, 35.15191602706909)
(1, 72.476788882247476, 0.0677, 70.390939950943)
(2, 69.868231015528778, 0.0661, 105.53942012786865)
(3, 68.445107876708732, 0.0577, 140.59945392608643)
(4, 67.583284811672428, 0.0572, 175.97820496559143)
(5, 66.991977127283661, 0.0524, 211.15427899360657)
(6, 66.569659425299534, 0.0523, 246.52383995056152)
(7, 66.27292436900747, 0.0483, 281.83227610588074)
(8, 65.997838700412558, 0.0461, 316.9775490760803)
(9, 65.769817153231628, 0.0449, 352.1989629268646)
(10, 65.573059110054601, 0.0447, 387.32999897003174)
(11, 65.453926579823843, 0.0441, 422.494017124176)
(12, 65.345762356088144, 0.0436, 457.89468908309937)
(13, 65.188927685737852, 0.0446, 493.07942509651184)
(14, 65.108092452027037, 0.0395, 528.2803120613098)
(15, 64.984519770187944, 0.0436, 563.5811109542847)
(16, 64.929492127851788, 0.0397, 598.6553399562836)
(17, 64.827605611463667, 0.0408, 633.8329229354858)
(18, 64.775274667392438, 0.0389, 669.1651699542999)
(19, 64.69681255517132, 0.0403, 704.3206651210785)
done.
