denoising autoencoder, full feedback
epochs = 20
hiddens = 600
learning_rate = 0.180000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 79.95528797961417, 0.0726, 34.8679461479187)
(1, 71.33548427632762, 0.0614, 69.47823715209961)
(2, 69.017995520680117, 0.0555, 104.31271314620972)
(3, 67.901339351902294, 0.0526, 139.1198091506958)
(4, 67.194822065069118, 0.0482, 173.9046971797943)
(5, 66.725800827777846, 0.0489, 208.62954807281494)
(6, 66.39075518323186, 0.0456, 243.21389198303223)
(7, 66.122197618892315, 0.0448, 278.1188712120056)
(8, 65.897380195585029, 0.044, 312.8272211551666)
(9, 65.699827804913141, 0.0391, 347.6434450149536)
(10, 65.533359466597886, 0.0441, 382.46348309516907)
(11, 65.459096413719806, 0.0399, 417.12771010398865)
(12, 65.31644052572139, 0.0424, 451.913339138031)
(13, 65.215853943456594, 0.0421, 486.6554560661316)
(14, 65.160230891906409, 0.0387, 521.539834022522)
(15, 65.071585746905257, 0.0433, 556.2785401344299)
(16, 64.998640703318401, 0.0389, 590.8795711994171)
(17, 64.909038482607926, 0.041, 625.6037721633911)
(18, 64.878724595085274, 0.0387, 660.1251981258392)
(19, 64.811279339194101, 0.0376, 694.8929851055145)
done.
