denoising autoencoder, full feedback
epochs = 20
hiddens = 600
learning_rate = 0.010000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 97.827531018027358, 0.1293, 35.20633602142334)
(1, 81.728727723078322, 0.1127, 70.0455310344696)
(2, 78.650412081867657, 0.1058, 104.94809007644653)
(3, 77.122633663558446, 0.0992, 140.04303002357483)
(4, 76.156868203723576, 0.0966, 175.02396202087402)
(5, 75.442068613575941, 0.095, 209.99413919448853)
(6, 74.808543883737556, 0.0913, 245.15477514266968)
(7, 74.38576439101189, 0.088, 280.17650508880615)
(8, 73.940533994882173, 0.0856, 315.10672402381897)
(9, 73.537138853357263, 0.0834, 350.22849106788635)
(10, 73.209965313743211, 0.0815, 384.78347611427307)
(11, 72.830866350385833, 0.0811, 419.836688041687)
(12, 72.448014630845478, 0.0809, 454.84775018692017)
(13, 72.169318225424533, 0.081, 489.99392318725586)
(14, 71.873295358274234, 0.0785, 525.0153570175171)
(15, 71.526993089994235, 0.0774, 560.089949131012)
(16, 71.231216899539547, 0.0763, 595.246062040329)
(17, 70.976963276904129, 0.0742, 630.4162740707397)
(18, 70.718903268251154, 0.0718, 665.3207361698151)
(19, 70.498842220156519, 0.0741, 700.2445211410522)
done.
