denoising autoencoder, full feedback
epochs = 20
hiddens = 200
learning_rate = 0.100000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 89.517894910947646, 0.0942, 17.73586106300354)
(1, 78.138106304769565, 0.087, 35.345991134643555)
(2, 75.362082522042101, 0.0812, 52.209660053253174)
(3, 73.636576526768678, 0.0815, 70.21506404876709)
(4, 72.435243301149455, 0.0793, 88.08015203475952)
(5, 71.60980648717694, 0.0756, 105.73682594299316)
(6, 70.980045645177867, 0.0779, 123.2257490158081)
(7, 70.529564171840292, 0.0776, 140.83341312408447)
(8, 70.195587329289893, 0.0754, 158.85110807418823)
(9, 69.906075005589813, 0.0743, 176.31915807724)
(10, 69.703866152325489, 0.0716, 194.30973315238953)
(11, 69.500945543429367, 0.0739, 211.89941906929016)
(12, 69.33588089594798, 0.0729, 229.23192596435547)
(13, 69.208906926203028, 0.0721, 246.38119792938232)
(14, 69.078327243098641, 0.0738, 263.7093539237976)
(15, 68.917573131065296, 0.0706, 281.56349301338196)
(16, 68.864297216939221, 0.0687, 299.4265971183777)
(17, 68.774346035879304, 0.07, 316.75572395324707)
(18, 68.7342034048866, 0.072, 334.45520210266113)
(19, 68.66412804260311, 0.0706, 351.9048340320587)
done.
