denoising autoencoder, full feedback
epochs = 20
hiddens = 600
learning_rate = 0.160000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.262978916422213, 0.08, 34.5462920665741)
(1, 71.729155597115891, 0.064, 69.4241669178009)
(2, 69.303294519806229, 0.059, 104.08836507797241)
(3, 68.083060266074583, 0.0545, 138.8654899597168)
(4, 67.28605472702003, 0.05, 173.46923995018005)
(5, 66.766662801443431, 0.0474, 208.10781693458557)
(6, 66.433566431523275, 0.048, 242.8679211139679)
(7, 66.11270586402631, 0.048, 277.44057512283325)
(8, 65.883091128164139, 0.0453, 312.1114311218262)
(9, 65.700311329951845, 0.0413, 346.76126408576965)
(10, 65.532292929617356, 0.0435, 381.55344104766846)
(11, 65.434455118291552, 0.042, 415.9316580295563)
(12, 65.267262011878628, 0.0404, 450.9786880016327)
(13, 65.188765204893556, 0.0418, 485.75279808044434)
(14, 65.103529056046355, 0.0398, 520.7874670028687)
(15, 65.040217586541601, 0.0399, 555.8034479618073)
(16, 64.948852627455381, 0.0379, 590.8860881328583)
(17, 64.911183016264232, 0.038, 625.9248650074005)
(18, 64.790771869600107, 0.0387, 660.6948280334473)
(19, 64.75286133425405, 0.039, 695.7671189308167)
done.
