denoising autoencoder, full feedback
epochs = 20
hiddens = 600
learning_rate = 0.180000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.116497038594233, 0.0756, 35.29413390159607)
(1, 71.345480064453113, 0.0602, 70.18779110908508)
(2, 69.117754823203953, 0.0578, 105.38115191459656)
(3, 67.955959345555698, 0.0531, 140.34495496749878)
(4, 67.267150175812404, 0.0524, 175.6255669593811)
(5, 66.790546630756737, 0.0458, 210.68041610717773)
(6, 66.415106033224887, 0.0481, 246.01434206962585)
(7, 66.156450985865433, 0.0461, 281.3375918865204)
(8, 65.912654653846175, 0.0444, 315.9038898944855)
(9, 65.750831988790765, 0.0437, 351.1954939365387)
(10, 65.585199527519606, 0.0419, 386.21900510787964)
(11, 65.450924621767214, 0.0452, 421.5298910140991)
(12, 65.347597447324077, 0.0433, 456.44996404647827)
(13, 65.265344016052296, 0.0405, 491.70367908477783)
(14, 65.149239612503493, 0.0407, 526.7381711006165)
(15, 65.075931522469347, 0.0399, 562.1046259403229)
(16, 64.992929156647662, 0.0394, 597.1837360858917)
(17, 64.942480725341312, 0.0393, 632.4086170196533)
(18, 64.886448972849792, 0.0399, 667.3495841026306)
(19, 64.860362230600771, 0.0407, 702.7639510631561)
done.
