denoising autoencoder, full feedback
epochs = 20
hiddens = 500
learning_rate = 0.100000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 81.90156167248783, 0.0886, 39.40536093711853)
(1, 73.586737609270202, 0.0765, 79.35877990722656)
(2, 70.944626369516754, 0.0681, 119.90049600601196)
(3, 69.356879537580824, 0.0648, 159.6828908920288)
(4, 68.387390258831303, 0.0627, 199.72031092643738)
(5, 67.721838770156651, 0.0585, 239.51605486869812)
(6, 67.21826186968633, 0.0567, 279.5861659049988)
(7, 66.855394409157284, 0.0563, 319.4396598339081)
(8, 66.514038932411466, 0.0514, 359.6325399875641)
(9, 66.281440140166751, 0.0528, 399.561980009079)
(10, 66.096385308119068, 0.052, 439.23746395111084)
(11, 65.926143934548463, 0.0537, 478.85775780677795)
(12, 65.785188182986531, 0.0487, 518.6134078502655)
(13, 65.653167317905726, 0.0464, 558.476714849472)
(14, 65.51944168978379, 0.0466, 598.1868488788605)
(15, 65.452199177840086, 0.047, 638.264200925827)
(16, 65.380677369732396, 0.0458, 678.6147258281708)
(17, 65.267042182722903, 0.0429, 718.5056598186493)
(18, 65.188458068407101, 0.0467, 758.3853869438171)
(19, 65.150955786786454, 0.0464, 797.5483078956604)
done.
