denoising autoencoder, full feedback
epochs = 50
hiddens = 1200
learning_rate = 0.100000
corruption = 0.000000
epoch, cost, error_rate, time
(0, 57.184299643340204, 0.0773, 62.32868504524231)
(1, 52.958348895080434, 0.0712, 125.07584500312805)
(2, 52.458066105140766, 0.0674, 187.8011190891266)
(3, 52.17868150806089, 0.0642, 250.47811007499695)
(4, 51.978325090437771, 0.0609, 313.10020899772644)
(5, 51.818001576932069, 0.059, 375.6917760372162)
(6, 51.682188606017377, 0.0557, 438.28766107559204)
(7, 51.563364055089679, 0.0537, 501.0666780471802)
(8, 51.457357435420697, 0.0515, 563.6551239490509)
(9, 51.361591720168143, 0.049, 626.4556710720062)
(10, 51.274327204153323, 0.0475, 689.2245581150055)
(11, 51.194312600447908, 0.047, 751.8751399517059)
(12, 51.120607577964911, 0.0465, 814.4779131412506)
(13, 51.052479446361275, 0.0456, 877.160089969635)
(14, 50.989334720190179, 0.0444, 939.686448097229)
(15, 50.930675037718579, 0.0435, 1002.4214749336243)
(16, 50.87606906849058, 0.0423, 1064.9966640472412)
(17, 50.825133841064513, 0.0414, 1127.667398929596)
(18, 50.777523475690444, 0.041, 1190.3338871002197)
(19, 50.732922432920994, 0.0408, 1253.1560320854187)
(20, 50.691041710336634, 0.0407, 1315.946965932846)
(21, 50.651617434729978, 0.0397, 1378.7587530612946)
(22, 50.614410796255115, 0.0393, 1441.4100170135498)
(23, 50.579207957402701, 0.0388, 1504.1150240898132)
(24, 50.545819108151484, 0.0384, 1566.8941309452057)
(25, 50.514076641405261, 0.0377, 1629.5958189964294)
(26, 50.483832819348109, 0.0371, 1692.4286360740662)
(27, 50.454957319106107, 0.0369, 1755.2877869606018)
(28, 50.427334928308177, 0.0369, 1817.952250957489)
(29, 50.400863511844769, 0.036, 1880.533443927765)
(30, 50.375452252740928, 0.0359, 1943.2908399105072)
(31, 50.351020117905001, 0.0355, 2006.0320241451263)
(32, 50.327494496962686, 0.0353, 2068.654007911682)
(33, 50.304809983195554, 0.0353, 2131.176027059555)
(34, 50.282907298055434, 0.0353, 2193.61580991745)
(35, 50.2617323924541, 0.0353, 2256.4353201389313)
(36, 50.24123576664612, 0.0349, 2319.1016840934753)
(37, 50.221372017194334, 0.0346, 2381.835510969162)
(38, 50.202099555979693, 0.0344, 2444.5861101150513)
(39, 50.183380396939135, 0.034, 2507.2914130687714)
(40, 50.165179917863767, 0.0337, 2569.992840051651)
(41, 50.147466573117335, 0.0337, 2632.713161945343)
(42, 50.130211595179247, 0.0335, 2695.3452520370483)
(43, 50.113388717645137, 0.0333, 2758.0294001102448)
(44, 50.09697389830481, 0.0331, 2820.723396062851)
(45, 50.080944998218826, 0.0328, 2883.5430901050568)
(46, 50.065281424133545, 0.0327, 2946.2907660007477)
(47, 50.049963817146683, 0.0328, 3009.0171670913696)
(48, 50.034973885167467, 0.033, 3071.586408138275)
(49, 50.020294412462121, 0.0332, 3134.237473964691)
done.
