denoising autoencoder, full feedback
epochs = 20
hiddens = 700
learning_rate = 0.100000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.808314280752199, 0.0897, 47.08053016662598)
(1, 72.89421327471895, 0.0728, 94.39154505729675)
(2, 70.377327173161163, 0.0637, 141.5694921016693)
(3, 68.864313406287934, 0.0598, 188.59465408325195)
(4, 67.869256198446067, 0.0582, 235.3835060596466)
(5, 67.196363633298873, 0.0523, 282.2793221473694)
(6, 66.720937223941036, 0.0516, 329.21696400642395)
(7, 66.340959550360012, 0.0505, 376.1731970310211)
(8, 66.008524877052722, 0.0498, 410.9901511669159)
(9, 65.745557105710759, 0.0478, 444.0149791240692)
(10, 65.60672865006471, 0.0466, 477.0305290222168)
(11, 65.377295935999541, 0.0462, 510.0320601463318)
(12, 65.238415673888667, 0.0445, 543.0667910575867)
(13, 65.09520630756208, 0.0412, 576.0734939575195)
(14, 64.989703165733971, 0.044, 609.0900771617889)
(15, 64.919511870359528, 0.0408, 642.0975379943848)
(16, 64.776149852277896, 0.0377, 675.0893940925598)
(17, 64.676597554176254, 0.0417, 708.0934281349182)
(18, 64.615142705757648, 0.0412, 741.0830640792847)
(19, 64.59226220586423, 0.041, 774.0970470905304)
done.
