denoising autoencoder, full feedback
epochs = 20
hiddens = 700
learning_rate = 0.100000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.807221156882648, 0.0911, 47.40089702606201)
(1, 72.83448877290607, 0.0721, 94.16921615600586)
(2, 70.268179696793766, 0.066, 141.2138330936432)
(3, 68.751549178015665, 0.0613, 188.02690815925598)
(4, 67.811754154149185, 0.0588, 235.1502959728241)
(5, 67.183829990134882, 0.0575, 282.3555281162262)
(6, 66.701367641562172, 0.0522, 329.02728819847107)
(7, 66.304164766398912, 0.0519, 376.4704701900482)
(8, 66.034211241083341, 0.0515, 423.6352071762085)
(9, 65.786999190010334, 0.0518, 471.28746604919434)
(10, 65.56996589504395, 0.0463, 518.1189382076263)
(11, 65.418465463231428, 0.0464, 564.697427034378)
(12, 65.254702826537326, 0.0446, 611.4975571632385)
(13, 65.163968457511714, 0.0461, 658.7667741775513)
(14, 65.044849291964496, 0.0426, 705.4598371982574)
(15, 64.941512908728882, 0.0422, 752.7593991756439)
(16, 64.854185357193003, 0.0426, 799.816409111023)
(17, 64.786387259560769, 0.0423, 847.0786001682281)
(18, 64.679418801906223, 0.0382, 894.0976531505585)
(19, 64.616799328854057, 0.0401, 941.0293040275574)
done.
