denoising autoencoder, full feedback
epochs = 20
hiddens = 600
learning_rate = 0.160000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.138058847942659, 0.0758, 34.62059783935547)
(1, 71.53620662231728, 0.0656, 69.42791485786438)
(2, 69.180726260438021, 0.0578, 104.04817199707031)
(3, 67.951449178060557, 0.0539, 138.88667106628418)
(4, 67.213695675148969, 0.0546, 173.53143906593323)
(5, 66.719098514325637, 0.0509, 208.21519303321838)
(6, 66.326062838040272, 0.0452, 242.83032393455505)
(7, 66.08356827651042, 0.0469, 277.56098198890686)
(8, 65.838230168990449, 0.0442, 312.2690489292145)
(9, 65.667327039463359, 0.0445, 346.9486780166626)
(10, 65.502761906791036, 0.0423, 381.69319105148315)
(11, 65.389110232592031, 0.0434, 416.2115378379822)
(12, 65.233390802531844, 0.0406, 451.28765201568604)
(13, 65.177635332649217, 0.0395, 486.1860330104828)
(14, 65.079055270804901, 0.0391, 520.9757869243622)
(15, 64.992745717672875, 0.0401, 555.9433560371399)
(16, 64.920320395925671, 0.0386, 590.5344219207764)
(17, 64.844629530300907, 0.0411, 625.4442329406738)
(18, 64.804477353697038, 0.0364, 660.2111940383911)
(19, 64.723636985082592, 0.0389, 695.2285480499268)
done.
