denoising autoencoder, full feedback
epochs = 20
hiddens = 1200
learning_rate = 0.100000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.397384347237292, 0.0859, 61.10468292236328)
(1, 72.2211054040514, 0.0686, 122.35801696777344)
(2, 69.849407361827204, 0.0618, 183.42101192474365)
(3, 68.488241980923149, 0.0574, 244.3163299560547)
(4, 67.526984632454244, 0.0515, 305.1548068523407)
(5, 66.880325088208281, 0.0497, 366.00991582870483)
(6, 66.400194328883018, 0.0504, 426.9044759273529)
(7, 66.020400247598417, 0.0475, 487.81427001953125)
(8, 65.716440081232022, 0.0462, 548.8073418140411)
(9, 65.405207576783766, 0.0437, 609.7311398983002)
(10, 65.184137185384444, 0.0427, 670.5805549621582)
(11, 65.052006639596485, 0.0402, 731.467561006546)
(12, 64.89650491488608, 0.0414, 792.3297679424286)
(13, 64.73406555485839, 0.0385, 853.2546877861023)
(14, 64.607635633705925, 0.0414, 914.279688835144)
(15, 64.481742819040846, 0.0396, 975.2471368312836)
(16, 64.406553680214799, 0.0359, 1036.0056788921356)
(17, 64.278276899757046, 0.0368, 1097.0181198120117)
(18, 64.195195279092559, 0.0365, 1157.9965658187866)
(19, 64.136806366561132, 0.0366, 1218.9941318035126)
done.
