denoising autoencoder, full feedback
epochs = 20
hiddens = 600
learning_rate = 0.180000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 79.873828396055288, 0.073, 35.58450984954834)
(1, 71.120920160122054, 0.0633, 70.65890002250671)
(2, 68.927239183289615, 0.0559, 105.6938910484314)
(3, 67.837737561510608, 0.0553, 141.03014206886292)
(4, 67.146211405016501, 0.0496, 176.65250205993652)
(5, 66.657283486041337, 0.0462, 211.23159098625183)
(6, 66.345915458003176, 0.046, 246.42069792747498)
(7, 66.04427900834925, 0.0457, 281.2220079898834)
(8, 65.823710099970583, 0.0437, 316.4314889907837)
(9, 65.682373237911548, 0.0427, 351.2872040271759)
(10, 65.544119321671687, 0.0415, 386.54119086265564)
(11, 65.398953112588131, 0.0418, 421.7690999507904)
(12, 65.332052836217585, 0.0373, 456.7567539215088)
(13, 65.180292673261448, 0.0405, 491.9467740058899)
(14, 65.106834306278259, 0.0374, 526.9871928691864)
(15, 65.061900971154486, 0.0355, 562.2570700645447)
(16, 64.97847466655611, 0.0379, 597.1504969596863)
(17, 64.9156962275745, 0.0374, 632.3090028762817)
(18, 64.872804318497188, 0.0359, 667.3226280212402)
(19, 64.795951100447127, 0.0381, 702.6662750244141)
done.
