denoising autoencoder, full feedback
epochs = 30
hiddens = 600
learning_rate = 0.100000
corruption = 0.000000
epoch, cost, error_rate, time
(0, 61.301815019009183, 0.0813, 37.42527508735657)
(1, 54.809569028601494, 0.0754, 74.82631516456604)
(2, 53.951377405627689, 0.0711, 112.41653609275818)
(3, 53.511079560428705, 0.0679, 149.84329414367676)
(4, 53.211012611889025, 0.0653, 187.07997012138367)
(5, 52.981024061999122, 0.0638, 224.33649110794067)
(6, 52.793460136995421, 0.0627, 261.602970123291)
(7, 52.634685620201161, 0.0627, 299.00416016578674)
(8, 52.49689171081674, 0.0628, 336.3385691642761)
(9, 52.375151510627916, 0.0604, 373.62315106391907)
(10, 52.266283044274637, 0.0598, 410.8566770553589)
(11, 52.168228868561805, 0.0588, 448.1441721916199)
(12, 52.079540247329618, 0.0569, 485.2856991291046)
(13, 51.999007219207037, 0.0561, 522.67414021492)
(14, 51.925540588852741, 0.0553, 559.9277331829071)
(15, 51.858152451256061, 0.0549, 597.2211530208588)
(16, 51.795956674071093, 0.0542, 634.719101190567)
(17, 51.738173208143508, 0.0541, 671.7685880661011)
(18, 51.684188518686362, 0.0534, 708.8631641864777)
(19, 51.633565976909139, 0.0528, 745.8176810741425)
(20, 51.585945565810583, 0.0533, 782.6532411575317)
(21, 51.541010975970799, 0.0529, 819.5399520397186)
(22, 51.498507513789633, 0.0538, 856.682186126709)
(23, 51.458222528177259, 0.0535, 893.4417760372162)
(24, 51.419972805944575, 0.0527, 930.4053192138672)
(25, 51.38360076598498, 0.053, 967.4117841720581)
(26, 51.348969614942938, 0.0525, 1004.2953090667725)
(27, 51.31595737756021, 0.0519, 1041.3226611614227)
(28, 51.284449172019094, 0.052, 1078.3360121250153)
(29, 51.254329995845588, 0.052, 1115.240974187851)
done.
