denoising autoencoder, full feedback
epochs = 20
hiddens = 600
learning_rate = 0.010000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 97.74784793754624, 0.1274, 35.07283616065979)
(1, 81.631147944167822, 0.1096, 70.10576796531677)
(2, 78.514966397379283, 0.1043, 105.03990411758423)
(3, 77.017570897581848, 0.0982, 140.0370659828186)
(4, 76.030338913695545, 0.097, 175.004536151886)
(5, 75.344384016689986, 0.0925, 210.02767205238342)
(6, 74.797356139464227, 0.0894, 244.87848496437073)
(7, 74.277121537287854, 0.0888, 279.7681131362915)
(8, 73.832412615067938, 0.0861, 314.8146171569824)
(9, 73.444678952212058, 0.0838, 349.88238406181335)
(10, 73.098700037717919, 0.0847, 384.4178240299225)
(11, 72.674934938958671, 0.0823, 419.39555501937866)
(12, 72.400155125236495, 0.0805, 454.46242094039917)
(13, 72.037756885648136, 0.0781, 489.33547806739807)
(14, 71.732997813346998, 0.0783, 524.2325050830841)
(15, 71.482955517393492, 0.0781, 559.1876859664917)
(16, 71.191228481571386, 0.0753, 594.10209608078)
(17, 70.92724342111218, 0.074, 629.0611400604248)
(18, 70.692025636778126, 0.0733, 664.0891849994659)
(19, 70.422831966966385, 0.072, 699.1014699935913)
done.
