denoising autoencoder, full feedback
epochs = 20
hiddens = 1000
learning_rate = 0.100000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.288684257435406, 0.0883, 57.505285024642944)
(1, 72.353396511598433, 0.0694, 114.92558407783508)
(2, 69.91522997100418, 0.0637, 172.12138509750366)
(3, 68.49379438885407, 0.0576, 229.41429901123047)
(4, 67.582493939376093, 0.0567, 286.7520442008972)
(5, 66.96224170404696, 0.0483, 343.90932512283325)
(6, 66.489350497011088, 0.0502, 401.40536308288574)
(7, 66.086461078886884, 0.0483, 459.07171511650085)
(8, 65.777327152693218, 0.048, 516.7400619983673)
(9, 65.501533961850598, 0.0446, 574.3836121559143)
(10, 65.236903069724661, 0.0425, 631.9166080951691)
(11, 65.078677088744328, 0.0429, 689.6021280288696)
(12, 64.948692577367893, 0.0405, 747.2209680080414)
(13, 64.785611767303195, 0.0384, 804.8037359714508)
(14, 64.684366718716461, 0.0372, 862.4652171134949)
(15, 64.558661119295536, 0.0382, 919.992311000824)
(16, 64.479994818241451, 0.0367, 977.6591720581055)
(17, 64.368932036458219, 0.0383, 1035.2932391166687)
(18, 64.280474867083669, 0.0372, 1092.4883131980896)
(19, 64.236281282795133, 0.0365, 1149.8997540473938)
done.
