denoising autoencoder, full feedback
epochs = 30
hiddens = 1000
learning_rate = 0.050000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 81.855682070311502, 0.1039, 59.72039723396301)
(1, 74.710724852868921, 0.0874, 119.41112422943115)
(2, 72.647115415857513, 0.0787, 179.08512616157532)
(3, 71.128772393194367, 0.0697, 237.89710807800293)
(4, 69.90125669621662, 0.0673, 297.8275520801544)
(5, 68.986086271041174, 0.0623, 357.6375060081482)
(6, 68.295054157916525, 0.0598, 417.40069103240967)
(7, 67.748602774874868, 0.056, 477.13851523399353)
(8, 67.287179011654842, 0.0571, 536.8758661746979)
(9, 66.96612355949884, 0.0544, 596.4322891235352)
(10, 66.605834705142726, 0.0543, 656.2753820419312)
(11, 66.339899079578814, 0.0533, 716.0434060096741)
(12, 66.105341927985435, 0.0507, 774.4805061817169)
(13, 65.909471731277293, 0.0521, 834.0463671684265)
(14, 65.671408141601688, 0.0502, 893.0652101039886)
(15, 65.554716710852745, 0.0502, 952.8104870319366)
(16, 65.431802260119994, 0.046, 1012.4973211288452)
(17, 65.316555184417538, 0.0476, 1072.2567451000214)
(18, 65.184140418018899, 0.0479, 1131.899316072464)
(19, 65.05253206114827, 0.0454, 1191.6485621929169)
(20, 64.971110262745626, 0.0445, 1251.3928651809692)
(21, 64.893311444009896, 0.0443, 1311.076984167099)
(22, 64.761317364422425, 0.0435, 1370.4293141365051)
(23, 64.73264806446663, 0.0423, 1429.8658030033112)
(24, 64.613630989890936, 0.0401, 1489.1814441680908)
(25, 64.586055266439828, 0.0428, 1548.4112520217896)
(26, 64.477757002775604, 0.0424, 1607.5865271091461)
(27, 64.434858159556782, 0.0415, 1665.8455140590668)
(28, 64.393540138223642, 0.0412, 1724.8232400417328)
(29, 64.316516899198902, 0.0388, 1784.0369200706482)
done.
