denoising autoencoder, full feedback
epochs = 20
hiddens = 1000
learning_rate = 0.100000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.327174839831684, 0.0856, 57.087785959243774)
(1, 72.365740607913054, 0.0692, 114.37043595314026)
(2, 69.926436112436832, 0.0608, 171.74055695533752)
(3, 68.538352323155038, 0.0556, 229.0446560382843)
(4, 67.568886113063314, 0.0532, 286.3304798603058)
(5, 66.93525955269908, 0.0491, 343.5029048919678)
(6, 66.391444170543181, 0.0483, 400.74790596961975)
(7, 66.05649133799038, 0.047, 458.13104581832886)
(8, 65.742845604902627, 0.0437, 515.5130279064178)
(9, 65.498496300827242, 0.0445, 572.7743680477142)
(10, 65.258412875928272, 0.0433, 629.9665818214417)
(11, 65.0876368408274, 0.0435, 687.3189640045166)
(12, 64.916936507185312, 0.041, 744.6776089668274)
(13, 64.759575680310633, 0.0402, 801.8153369426727)
(14, 64.7003323970998, 0.0406, 859.0755770206451)
(15, 64.578824670511551, 0.0374, 916.4670898914337)
(16, 64.471723344190167, 0.0389, 973.7563688755035)
(17, 64.381592524935797, 0.0373, 1030.9762499332428)
(18, 64.290169513086767, 0.0355, 1088.235044002533)
(19, 64.217188368019123, 0.0353, 1145.5383558273315)
done.
