denoising autoencoder, full feedback
epochs = 30
hiddens = 1000
learning_rate = 0.050000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 81.950016466205994, 0.1024, 59.02608108520508)
(1, 74.64018619355943, 0.0865, 118.23957014083862)
(2, 72.560758224666259, 0.0787, 177.40456104278564)
(3, 71.066509569806797, 0.0727, 236.70630407333374)
(4, 69.83431060283381, 0.069, 295.9090700149536)
(5, 68.928106180112763, 0.064, 355.2108609676361)
(6, 68.212387717777787, 0.0595, 414.54474902153015)
(7, 67.695395425663435, 0.0582, 473.7615559101105)
(8, 67.281210613088533, 0.0547, 533.0418639183044)
(9, 66.882490829959366, 0.0578, 592.3814990520477)
(10, 66.566683608083963, 0.0539, 651.6443710327148)
(11, 66.312506776070663, 0.0511, 710.9905519485474)
(12, 66.082013790315301, 0.0517, 770.0631060600281)
(13, 65.896404584484642, 0.051, 829.3550851345062)
(14, 65.724376434111306, 0.05, 888.6451089382172)
(15, 65.590698745229943, 0.0472, 947.7421939373016)
(16, 65.413496397210906, 0.0475, 1006.8371939659119)
(17, 65.321257938556826, 0.0464, 1066.3634650707245)
(18, 65.176903431204863, 0.0465, 1125.6735990047455)
(19, 65.063711534202298, 0.0455, 1184.8231980800629)
(20, 64.97465875452265, 0.0462, 1244.1978499889374)
(21, 64.854668865766399, 0.0434, 1303.4563450813293)
(22, 64.802082731944481, 0.0462, 1362.7769520282745)
(23, 64.728519023778148, 0.0436, 1422.1981101036072)
(24, 64.616864257212285, 0.0418, 1481.3718750476837)
(25, 64.529746581329562, 0.0436, 1540.6943910121918)
(26, 64.507698198729642, 0.041, 1599.8644869327545)
(27, 64.436958049937331, 0.0422, 1659.0410830974579)
(28, 64.375391417686018, 0.0402, 1718.1387920379639)
(29, 64.298672339755555, 0.0412, 1777.331650018692)
done.
