denoising autoencoder, full feedback
epochs = 20
hiddens = 700
learning_rate = 0.100000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 80.807991089061332, 0.0872, 47.12735891342163)
(1, 72.855523381962144, 0.0715, 93.8965790271759)
(2, 70.326331941204657, 0.0627, 141.10856199264526)
(3, 68.813221328260553, 0.062, 187.9429099559784)
(4, 67.871115344540058, 0.0575, 234.59493207931519)
(5, 67.176341360957821, 0.0546, 280.93317890167236)
(6, 66.732236914853658, 0.0519, 327.87940406799316)
(7, 66.342986545706495, 0.0494, 374.82880091667175)
(8, 66.034420689325955, 0.0492, 421.6933710575104)
(9, 65.784670164532045, 0.0486, 468.465185880661)
(10, 65.600934465292127, 0.0464, 515.0566289424896)
(11, 65.406210918749025, 0.0438, 561.9778819084167)
(12, 65.260487342891665, 0.0469, 609.3130869865417)
(13, 65.145709839356627, 0.0445, 656.4578149318695)
(14, 65.019112573346646, 0.0429, 703.1718759536743)
(15, 64.885682953925809, 0.0426, 750.2997598648071)
(16, 64.806036811386051, 0.0425, 797.2162640094757)
(17, 64.726576463129646, 0.0394, 844.1129689216614)
(18, 64.640203914112845, 0.0404, 891.0207109451294)
(19, 64.606441133485589, 0.0395, 938.3156690597534)
done.
