denoising autoencoder, full feedback
epochs = 20
hiddens = 100
learning_rate = 0.100000
corruption = 0.300000
epoch, cost, error_rate, time
(0, 100.68472508223547, 0.1045, 12.810534954071045)
(1, 86.690691284943867, 0.1036, 25.66865611076355)
(2, 83.615027362263803, 0.0975, 38.503108978271484)
(3, 81.86809331344918, 0.0988, 51.110466957092285)
(4, 80.667384305984939, 0.0925, 64.02409195899963)
(5, 79.9304936454662, 0.0896, 76.88249897956848)
(6, 79.295996631169572, 0.0922, 89.711501121521)
(7, 78.798555409079157, 0.0866, 102.76490592956543)
(8, 78.435614786544562, 0.0893, 116.13854789733887)
(9, 78.116373461999743, 0.0876, 129.53307390213013)
(10, 77.894859578039046, 0.0885, 142.56940293312073)
(11, 77.645025238098327, 0.0877, 155.30445194244385)
(12, 77.418276267994969, 0.0895, 168.14183592796326)
(13, 77.255342731962372, 0.0858, 181.42585706710815)
(14, 77.076472816715579, 0.0856, 194.05354499816895)
(15, 76.957422739200595, 0.0861, 207.67511892318726)
(16, 76.850049509714154, 0.0853, 220.6900110244751)
(17, 76.764596454143827, 0.0847, 233.4624900817871)
(18, 76.671962874256693, 0.0855, 246.3320279121399)
(19, 76.530304614467497, 0.0823, 259.39211893081665)
done.
