denoising autoencoder, full feedback
epochs = 30
hiddens = 1000
learning_rate = 0.100000
corruption = 0.000000
epoch, cost, error_rate, time
(0, 57.913052132363894, 0.0781, 56.672313928604126)
(1, 53.240344901243134, 0.0698, 113.31239891052246)
(2, 52.67669891923525, 0.0649, 169.94578194618225)
(3, 52.364824787396003, 0.0623, 226.7281370162964)
(4, 52.14284555863717, 0.0604, 283.47504591941833)
(5, 51.967375503924032, 0.0586, 340.2288658618927)
(6, 51.820564214290641, 0.0566, 396.7027850151062)
(7, 51.693589187513282, 0.0545, 453.5589368343353)
(8, 51.581532512113391, 0.0532, 510.29486989974976)
(9, 51.481325656451368, 0.0515, 567.0994889736176)
(10, 51.390900751473971, 0.0505, 621.276242017746)
(11, 51.308782427101754, 0.0496, 672.5271708965302)
(12, 51.233843794417204, 0.0485, 723.3701138496399)
(13, 51.165162719973317, 0.0479, 774.2421989440918)
(14, 51.101954357449863, 0.047, 825.3457179069519)
(15, 51.043542341693993, 0.0456, 876.1956489086151)
(16, 50.989347472912513, 0.0447, 927.1818218231201)
(17, 50.938885840318257, 0.0445, 978.1509349346161)
(18, 50.891760984123572, 0.0442, 1029.5076098442078)
(19, 50.847643757860276, 0.0437, 1080.3812499046326)
(20, 50.806249945805504, 0.0432, 1131.0314300060272)
(21, 50.767324303532327, 0.0433, 1182.1973049640656)
(22, 50.730635520608537, 0.0434, 1233.0204420089722)
(23, 50.695978635081524, 0.0434, 1283.7275319099426)
(24, 50.663173811946599, 0.0431, 1334.4701159000397)
(25, 50.632059828934501, 0.0428, 1385.2487049102783)
(26, 50.602490044594973, 0.0425, 1436.1702020168304)
(27, 50.574331326367734, 0.0424, 1487.0422739982605)
(28, 50.547462881475248, 0.0425, 1537.6945559978485)
(29, 50.521774925496963, 0.0419, 1588.7626860141754)
done.
